,date,count,platform
430,2021-03-22,35,1
431,2021-03-23,32,1
432,2021-03-24,39,1
433,2021-03-25,30,1
434,2021-03-26,52,1
435,2021-03-27,29,1
436,2021-03-28,18,1
437,2021-03-29,37,1
438,2021-03-30,29,1
439,2021-03-31,37,1
440,2021-04-01,32,1
441,2021-04-02,50,1
442,2021-04-03,28,1
443,2021-04-04,15,1
444,2021-04-05,37,1
445,2021-04-06,35,1
446,2021-04-07,44,1
447,2021-04-08,34,1
448,2021-04-09,54,1
449,2021-04-10,33,1
450,2021-04-11,17,1
451,2021-04-12,39,1
452,2021-04-13,34,1
453,2021-04-14,41,1
454,2021-04-15,40,1
455,2021-04-16,54,1
456,2021-04-17,37,1
457,2021-04-18,19,1
458,2021-04-19,42,1
459,2021-04-20,38,1
460,2021-04-21,43,1
461,2021-04-22,30,1
462,2021-04-23,54,1
463,2021-04-24,35,1
464,2021-04-25,20,1
465,2021-04-26,40,1
466,2021-04-27,37,1
467,2021-04-28,42,1
468,2021-04-29,35,1
469,2021-04-30,62,1
470,2021-05-01,29,1
471,2021-05-02,19,1
472,2021-05-03,35,1
473,2021-05-04,30,1
474,2021-05-05,40,1
475,2021-05-06,32,1
476,2021-05-07,47,1
477,2021-05-08,28,1
478,2021-05-09,26,1
479,2021-05-10,36,1
480,2021-05-11,34,1
481,2021-05-12,40,1
482,2021-05-13,28,1
483,2021-05-14,52,1
484,2021-05-15,30,1
485,2021-05-16,23,1
486,2021-05-17,33,1
487,2021-05-18,29,1
488,2021-05-19,40,1
489,2021-05-20,25,1
490,2021-05-21,50,1
491,2021-05-22,35,1
492,2021-05-23,24,1
493,2021-05-24,40,1
494,2021-05-25,30,1
495,2021-05-26,41,1
496,2021-05-27,28,1
497,2021-05-28,55,1
498,2021-05-29,30,1
499,2021-05-30,26,1
500,2021-05-31,40,1
501,2021-06-01,25,1
502,2021-06-02,40,1
503,2021-06-03,31,1
504,2021-06-04,56,1
505,2021-06-05,36,1
506,2021-06-06,21,1
507,2021-06-07,37,1
508,2021-06-08,29,1
509,2021-06-09,36,1
510,2021-06-10,29,1
511,2021-06-11,56,1
512,2021-06-12,31,1
513,2021-06-13,20,1
514,2021-06-14,34,1
515,2021-06-15,30,1
516,2021-06-16,39,1
517,2021-06-17,34,1
518,2021-06-18,53,1
519,2021-06-19,38,1
520,2021-06-20,18,1
521,2021-06-21,37,1
522,2021-06-22,28,1
523,2021-06-23,41,1
